iter	RMSE
349	4.102792377
350	4.099494152
351	4.097388234
352	4.091855132
353	4.087907578
354	4.084567818
355	4.083146813
356	4.080836606
357	4.077728893
358	4.074862066
359	4.068687993
360	4.062414978
361	4.058907419
362	4.053431468
363	4.048497722
364	4.048132448
365	4.042444707
366	4.040425121
367	4.039842292
368	4.036417062
369	4.035962063
370	4.03540027
371	4.032474341
372	4.028395887
373	4.023593439
374	4.021149356
375	4.018213957
376	4.014076308
377	4.009346615
378	4.003868152
379	4.000787154
380	3.996192113
381	3.994288144
382	3.989478775
383	3.987519297
384	3.985339784
385	3.982889466
386	3.979493567
387	3.977160358
388	3.975441148
389	3.971039687
390	3.96769667
391	3.962716476
392	3.960864587
393	3.958155326
394	3.954047969
395	3.951984402
396	3.948415284
397	3.942945601
398	3.941276116
399	3.940445974
400	3.936685471
401	3.935475268
402	3.930190258
403	3.925894192
404	3.922145228
405	3.919886534
406	3.919130767
407	3.914569973
408	3.908276363
409	3.906850982
410	3.904129482
411	3.900919246
412	3.897448494
413	3.893819814
414	3.890489114
415	3.888590924
416	3.883356951
417	3.877398453
418	3.873979932
419	3.868789128
420	3.867317259
421	3.866115332
422	3.86129685
423	3.858885412
424	3.854530246
425	3.850833857
426	3.850319358
427	3.845662517
428	3.844367754
429	3.839595119
430	3.835556848
431	3.834981195
432	3.832904312
433	3.828718139
434	3.828094167
435	3.824930155
436	3.823880134
437	3.819551833
438	3.81912759
439	3.813653253
440	3.811925099
441	3.808394469
442	3.808118734
443	3.80077319
444	3.798031978
445	3.795562461
446	3.791914488
447	3.789175968
448	3.789088333
449	3.786557408
450	3.783121132
451	3.777878993
452	3.774613949
453	3.771298183
454	3.767953456
455	3.765064393
456	3.760275136
457	3.760003617
458	3.755702416
459	3.749040069
460	3.747256045
461	3.743228924
462	3.737836386
463	3.737685806
464	3.736320123
465	3.732716655
466	3.728542297
467	3.722674324
468	3.721955429
469	3.719873273
470	3.718593116
471	3.717927284
472	3.713311785
473	3.710819052
474	3.708002437
475	3.704095558
476	3.701360432
477	3.695745782
478	3.692866512
479	3.691253786
480	3.689544784
481	3.685854059
482	3.682892059
483	3.680133962
484	3.675838349
485	3.674827348
486	3.671029774
487	3.669434759
488	3.664673068
489	3.663054632
490	3.662677803
491	3.66229708
492	3.657035217
493	3.654657539
494	3.650570685
495	3.649560846
496	3.648585222
497	3.645925751
498	3.645408836
499	3.642809178
500	3.642101745
501	3.640506797
502	3.638389645
503	3.635203769
504	3.632764117
505	3.627090406
506	3.625742312
507	3.623893158
508	3.620578977
509	3.618292252
510	3.614411253
511	3.614254032
512	3.612060123
513	3.607682039
514	3.605283971
515	3.603248483
516	3.600514042
517	3.598860339
518	3.597464277
519	3.595944236
520	3.593960757
521	3.593690172
522	3.590194966
523	3.58634085
524	3.583168396
525	3.581821498
526	3.578858012
527	3.575076028
528	3.571633105
529	3.568621912
530	3.565111864
531	3.561281316
532	3.556363101
533	3.553842337
534	3.550979793
535	3.549704831
536	3.547901826
537	3.543702523
538	3.540648537
539	3.539280675
540	3.538169567
541	3.534987432
542	3.533536155
543	3.528855762
544	3.527076349
545	3.522264566
546	3.516443458
547	3.516260413
548	3.512517786
549	3.509455536
550	3.508400733
551	3.506629859
552	3.50310535
553	3.502716916
554	3.500014599
555	3.495638389
556	3.49485218
557	3.493064863
558	3.492560964
559	3.491579823
560	3.488619179
561	3.485007511
562	3.483596528
563	3.481930962
564	3.48030789
565	3.476026656
566	3.475008336
567	3.4734557
568	3.469187435
569	3.467034372
570	3.463915314
571	3.460300799
572	3.459003558
573	3.455773267
574	3.45160037
575	3.44787505
576	3.444740646
577	3.444246349
578	3.443055866
579	3.440355249
580	3.438758236
581	3.435331253
582	3.431941295
583	3.427431866
584	3.426993117
585	3.422030957
586	3.417272549
587	3.413756187
588	3.410269345
589	3.407445815
590	3.402918032
591	3.402517483
592	3.399742369
593	3.396381535
594	3.396295101
595	3.392640699
596	3.391687755
597	3.389009145
598	3.385948483
599	3.385761013
600	3.38482095
601	3.381906308
602	3.378497198
603	3.377077175
604	3.375418336
605	3.370667585
606	3.366911303
607	3.362974403
608	3.359332814
609	3.355090856
610	3.350872459
611	3.347736873
612	3.345871917
613	3.344630786
614	3.343117596
615	3.341529284
616	3.339260545
617	3.335656716
618	3.334578335
619	3.330665249
620	3.329546881
621	3.327414536
622	3.325716244
623	3.322881618
624	3.318881546
625	3.315327648
626	3.310388071
627	3.309058604
628	3.306935523
629	3.303452524
630	3.301021659
631	3.300477102
632	3.299176893
633	3.299061529
634	3.295259573
635	3.292446025
636	3.288908315
637	3.285977702
638	3.284752312
639	3.28143773
640	3.278706905
641	3.275769623
642	3.272294129
643	3.269608961
644	3.268330868
645	3.26534808
646	3.262213344
647	3.261475602
648	3.260008207
649	3.257518418
650	3.255948666
651	3.253024536
652	3.2528355
653	3.252498558
654	3.251259125
655	3.249992965
656	3.247306457
657	3.244534993
658	3.243803135
659	3.243012431
660	3.241675077
661	3.241244598
662	3.236905226
663	3.236488848
664	3.232202202
665	3.229757156
666	3.227310714
667	3.225077892
668	3.223292001
669	3.220829509
670	3.219434627
671	3.217738551
672	3.213981123
673	3.213443656
674	3.209949643
675	3.207933852
676	3.20730055
677	3.204949357
678	3.203394168
679	3.202626722
680	3.200502494
681	3.195160415
682	3.193964731
683	3.193615873
684	3.191104727
685	3.190706989
686	3.190049777
687	3.189925974
688	3.18749151
689	3.185134852
690	3.184868582
691	3.182818834
692	3.179834089
693	3.1764413
694	3.174654834
695	3.172435743
696	3.169871062
697	3.167488221
698	3.165329561
699	3.162512537
700	3.161543437
701	3.160480568
702	3.159301739
703	3.15677548
704	3.15488042
705	3.153106005
706	3.151070209
707	3.14811451
708	3.14739113
709	3.146556517
710	3.145290938
711	3.144948079
712	3.143461345
713	3.140158589
714	3.13768112
715	3.134878908
716	3.134116457
717	3.132390824
718	3.128638191
719	3.128130838
720	3.125560685
721	3.12462836
722	3.121947083
723	3.120367037
724	3.118064642
725	3.114917999
726	3.111951383
727	3.110372377
728	3.110078329
729	3.106933685
730	3.105001856
731	3.103879453
732	3.102510027
733	3.100264327
734	3.100094984
735	3.099044247
736	3.096308468
737	3.095160491
738	3.092102551
739	3.089177402
740	3.088666168
741	3.086669174
742	3.084093739
743	3.083801868
744	3.081051708
745	3.079380919
746	3.077099667
747	3.075526232
748	3.074876505
749	3.071797095
750	3.069612617
751	3.067547417
752	3.066143531
753	3.064373913
754	3.061231362
755	3.059556984
756	3.05693709
757	3.055617534
758	3.053099499
759	3.049970997
760	3.047830167
761	3.046245506
762	3.043565295
763	3.042993473
764	3.041205265
765	3.040202508
766	3.038408272
767	3.036207533
768	3.036152027
769	3.034895241
770	3.032240001
771	3.031913582
772	3.031285819
773	3.031091928
774	3.028865285
775	3.026866203
776	3.026390997
777	3.023586596
778	3.019110765
779	3.017777409
780	3.016088182
781	3.013585291
782	3.013512132
783	3.013191203
784	3.008904802
785	3.004442189
786	3.002224035
787	3.001452219
788	2.998565491
789	2.996131783
790	2.995793313
791	2.995353944
792	2.995085973
793	2.992841511
794	2.990653238
795	2.987540845
796	2.98697897
797	2.985951379
798	2.983565791
799	2.981074889
800	2.980505568
801	2.97897188
802	2.976693671
803	2.975480732
804	2.975332438
805	2.973517453
806	2.972619203
807	2.970659046
808	2.969750552
809	2.967394561
810	2.966551745
811	2.965904132
812	2.965328566
813	2.963967893
814	2.962583661
815	2.961582988
816	2.958611276
817	2.957874494
818	2.957676003
819	2.956575848
820	2.954905737
821	2.9537992
822	2.951097887
823	2.950701411
824	2.9470177
825	2.946610966
826	2.943824002
827	2.942928432
828	2.941640151
829	2.939704394
830	2.939263328
831	2.935797529
832	2.933612603
833	2.931434428
834	2.92921882
835	2.92833012
836	2.926337447
837	2.92610348
838	2.924515428
839	2.922043931
840	2.918873602
841	2.917587965
842	2.915376969
843	2.91417274
844	2.912095012
845	2.909510756
846	2.909203575
847	2.907796386
848	2.906120454
849	2.903092954
850	2.901902515
851	2.898431981
852	2.897535592
853	2.896200726
854	2.895518812
855	2.894512034
856	2.892982184
857	2.891221236
858	2.888858135
859	2.886990534
860	2.883897488
861	2.882108705
862	2.881330566
863	2.880932435
864	2.878053488
865	2.876138254
866	2.873982564
867	2.873638594
868	2.872067585
869	2.870123845
870	2.869489889
871	2.867281001
872	2.865325331
873	2.864380095
874	2.862630624
875	2.862418178
876	2.859780472
877	2.85544307
878	2.854881578
879	2.853560557
880	2.851768068
881	2.848936349
882	2.846512045
883	2.843137362
884	2.841483953
885	2.839658587
886	2.838445747
887	2.836619727
888	2.83346211
889	2.832599862
890	2.831858678
891	2.82904932
892	2.825777492
893	2.824556151
894	2.82330833
895	2.820904383
896	2.817866113
897	2.817378432
898	2.814651604
899	2.812918423
900	2.810541497
901	2.808420688
902	2.805948379
903	2.804384635
904	2.80217552
905	2.801292316
906	2.798109836
907	2.796699049
908	2.794902181
909	2.793392568
910	2.790729812
911	2.789534538
912	2.787411633
913	2.785895737
914	2.784719531
915	2.783857027
916	2.781435005
917	2.780192445
918	2.780063431
919	2.778582229
920	2.776506085
921	2.773952192
922	2.772165495
923	2.769579518
924	2.768603117
925	2.766693737
926	2.763886939
927	2.761933218
928	2.760939433
929	2.759860521
930	2.759590695
931	2.757872062
932	2.755357501
933	2.753276894
934	2.750732519
935	2.749698146
936	2.748404544
937	2.746022783
938	2.745102367
939	2.743734601
940	2.739874009
941	2.739117337
942	2.737337301
943	2.735754362
944	2.734138607
945	2.733687683
946	2.732096637
947	2.730424251
948	2.727955927
949	2.72755561
950	2.726384275
951	2.725320269
952	2.723896601
953	2.723014307
954	2.722551509
955	2.720455848
956	2.718717438
957	2.718382887
958	2.716379052
959	2.715977199
960	2.715506939
961	2.715196672
962	2.714429907
963	2.712184953
964	2.708350217
965	2.708011821
966	2.707273502
967	2.705540503
968	2.704341347
969	2.703114356
970	2.701945934
971	2.700718725
972	2.700144881
973	2.698792934
974	2.698084337
975	2.695871756
976	2.694402069
977	2.693165411
978	2.692338432
979	2.69205121
980	2.690115814
981	2.688131663
982	2.687527276
983	2.685326205
984	2.682840029
985	2.682496341
986	2.682332417
987	2.679501351
988	2.679313618
989	2.678971959
990	2.678147444
991	2.67645439
992	2.674860182
993	2.672993781
994	2.671852811
995	2.671089663
996	2.667609701
997	2.666559949
998	2.664225435
999	2.663169243
